,Player,Season,Age,Tm,Lg,G,GS,MP,PER,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Place_of_Birth,Race,From,To,Pos,Ht,Wt,Birth Date,College,SEASON,RK,NAME,TEAM,SALARY
69,wilson chandler,2014-15,27.0,DEN,NBA,78,75.0,2471.0,13.2,0.416,0.146,4.1,17.2,10.4,8.9,1.2,0.9,9.6,20.1,104.0,109.0,2.1,1.5,3.6,0.071,0.5,-0.4,0.2,1.3,Michigan,Black,2008,2015,F,6-8,225,"May 10, 1987",DePaul University,2014-2015,93,"Wilson Chandler, SF",Denver Nuggets,6757913
70,will cherry,2014-15,23.0,CLE,NBA,8,0.0,69.0,5.8,0.474,0.316,1.7,6.6,4.2,16.4,4.5,1.1,15.6,16.8,80.0,103.0,-0.1,0.1,0.0,-0.021,-4.4,0.7,-3.7,0.0,California,Black,2015,2015,G,6-0,185,"February 8, 1991",University of Montana,2014-2015,393,"Will Cherry, PG",Cleveland Cavaliers,495399
71,patrick christopher,2014-15,26.0,UTA,NBA,4,1.0,29.0,-2.6,0.333,0.0,8.0,15.9,12.0,0.0,1.8,0.0,7.7,20.6,61.0,106.0,-0.1,0.0,-0.1,-0.15,-10.6,-5.7,-16.3,-0.1,California,Black,2015,2015,G-F,6-5,209,"June 3, 1988",University of California,2014-2015,400,"Patrick Christopher, SG",Utah Jazz,379010
72,victor claver,2014-15,26.0,POR,NBA,10,0.0,76.0,9.2,0.55,0.0,4.3,23.5,14.1,1.9,0.7,0.9,16.7,14.1,102.0,103.0,0.0,0.1,0.1,0.086,-2.9,-1.3,-4.2,0.0,Spain,White,2013,2015,F,6-9,224,"August 30, 1988",,2014-2015,297,"Victor Claver, PF",Portland Trail Blazers,1370000
73,norris cole,2014-15,26.0,TOT,NBA,75,25.0,1831.0,10.9,0.315,0.145,0.9,9.3,5.1,22.2,1.6,0.7,14.3,17.5,99.0,109.0,0.4,1.0,1.4,0.036,-1.5,-1.5,-3.0,-0.5,Ohio,Black,2012,2016,G,6-2,175,"October 13, 1988",Cleveland State University,2014-2015,252,"Norris Cole, PG",Miami Heat,2038206
74,darren collison,2014-15,27.0,SAC,NBA,45,45.0,1565.0,17.5,0.293,0.335,1.4,8.7,5.2,27.2,2.2,0.7,15.1,20.9,112.0,110.0,3.0,0.8,3.8,0.116,2.8,-1.3,1.5,1.4,California,Black,2010,2016,G,6-0,175,"August 23, 1987","University of California, Los Angeles",2014-2015,137,"Darren Collison, PG",Sacramento Kings,4797664
75,nick collison,2014-15,34.0,OKC,NBA,66,2.0,1101.0,11.2,0.237,0.257,8.9,15.3,12.2,11.6,1.6,1.8,13.8,12.8,108.0,105.0,1.0,1.2,2.2,0.097,-1.1,1.2,0.1,0.6,Iowa,White,2005,2016,F,6-10,255,"October 26, 1980",University of Kansas,2014-2015,238,"Nick Collison, PF",Oklahoma City Thunder,2242003
76,mike conley,2014-15,27.0,MEM,NBA,70,70.0,2225.0,18.6,0.314,0.282,1.5,9.2,5.4,28.0,2.1,0.5,13.6,23.7,110.0,104.0,4.2,2.7,6.8,0.147,3.2,-0.5,2.7,2.6,Arkansas,Black,2008,2016,G,6-1,175,"October 11, 1987",Ohio State University,2014-2015,65,"Mike Conley, PG",Memphis Grizzlies,8694216
77,jack cooley,2014-15,23.0,UTA,NBA,16,0.0,87.0,11.4,0.0,0.955,13.3,19.8,16.6,1.8,3.7,2.8,8.8,18.0,97.0,98.0,0.0,0.2,0.2,0.092,-4.4,0.4,-4.0,0.0,Illinois,White,2015,2015,F,6-9,260,"April 4, 1991",University of Notre Dame,2014-2015,425,"Jack Cooley, SF",Utah Jazz,59686
78,chris copeland,2014-15,30.0,IND,NBA,50,12.0,828.0,7.4,0.539,0.145,3.1,11.7,7.4,9.9,0.7,1.0,15.2,21.3,88.0,106.0,-0.9,0.8,-0.1,-0.008,-2.8,-1.5,-4.3,-0.5,New Jersey,Black,2013,2016,F,6-9,239,"March 17, 1984",University of Colorado,2014-2015,197,"Chris Copeland, F",Indiana Pacers,3135000
79,bryce cotton,2014-15,22.0,UTA,NBA,15,0.0,159.0,14.5,0.29,0.261,2.2,10.8,6.5,17.0,1.3,0.0,13.5,25.6,102.0,109.0,0.1,0.1,0.2,0.067,-1.2,-3.2,-4.4,-0.1,Arizona,Black,2015,2016,G,6-1,165,"August 11, 1992",Providence College,2014-2015,423,"Bryce Cotton, PG",Utah Jazz,92514
80,demarcus cousins,2014-15,24.0,SAC,NBA,59,59.0,2013.0,25.2,0.008,0.508,10.8,30.6,21.1,20.4,2.3,4.0,16.3,34.1,104.0,101.0,2.8,3.2,6.0,0.144,1.4,3.3,4.7,3.4,Alabama,Black,2011,2016,C-F,6-11,270,"August 13, 1990",University of Kentucky,2014-2015,26,"DeMarcus Cousins, C",Sacramento Kings,14746000
81,robert covington,2014-15,24.0,PHI,NBA,70,49.0,1956.0,14.7,0.59,0.287,3.4,14.6,8.8,9.8,2.5,1.3,13.1,21.8,104.0,104.0,1.6,2.3,4.0,0.097,0.6,-0.5,0.2,1.1,Illinois,Black,2014,2016,F,6-9,215,"December 14, 1990",Tennessee State University,2014-2015,335,"Robert Covington, SF",Philadelphia 76ers,1000000
82,allen crabbe,2014-15,22.0,POR,NBA,51,9.0,683.0,8.7,0.556,0.105,1.1,10.1,5.7,8.1,1.4,1.6,8.6,11.5,108.0,105.0,0.5,0.8,1.3,0.088,-1.3,1.0,-0.3,0.3,California,Black,2014,2016,G-F,6-6,210,"April 9, 1992",University of California,2014-2015,362,"Allen Crabbe, SG",Portland Trail Blazers,862000
83,jamal crawford,2014-15,34.0,LAC,NBA,64,4.0,1703.0,16.6,0.434,0.3,1.2,6.9,4.1,14.9,1.8,0.7,8.8,27.6,106.0,109.0,2.5,1.2,3.6,0.102,1.7,-2.7,-1.0,0.4,Washington,Black,2001,2016,G,6-5,195,"March 20, 1980",University of Michigan,2014-2015,117,"Jamal Crawford, SG",Los Angeles Clippers,5450000
84,jae crowder,2014-15,24.0,TOT,NBA,82,17.0,1647.0,13.9,0.382,0.259,4.7,14.9,9.7,8.6,2.2,1.2,7.5,17.5,108.0,104.0,1.9,2.0,3.9,0.113,-0.1,0.6,0.6,1.1,Georgia,Black,2013,2016,F,6-6,235,"July 6, 1990",Marquette University,2014-2015,356,"Jae Crowder, SF",Dallas Mavericks,915243
85,dante cunningham,2014-15,27.0,NOP,NBA,66,27.0,1652.0,8.9,0.029,0.139,4.8,12.8,8.8,4.4,1.5,1.7,8.9,10.9,102.0,108.0,0.5,1.2,1.6,0.047,-2.6,1.0,-1.6,0.2,Maryland,Black,2010,2016,F,6-8,230,"April 22, 1987",Villanova University,2014-2015,379,"Dante Cunningham, PF",New Orleans Pelicans,716043
86,seth curry,2014-15,24.0,PHO,NBA,2,0.0,8.0,-11.4,0.333,0.0,0.0,27.7,13.7,15.6,0.0,0.0,0.0,16.5,21.0,107.0,-0.1,0.0,0.0,-0.298,-14.3,-1.6,-15.9,0.0,North Carolina,Black and White,2014,2016,G,6-2,185,"August 23, 1990",Duke University,2014-2015,429,"Seth Curry, SG",Phoenix Suns,48028
87,stephen curry,2014-15,26.0,GSW,NBA,80,80.0,2613.0,28.0,0.482,0.251,2.4,11.4,7.0,38.6,3.0,0.5,14.3,28.9,122.0,101.0,11.5,4.1,15.7,0.288,9.6,0.3,9.9,7.9,Ohio,Black and White,2010,2016,G,6-3,185,"March 14, 1988",Davidson College,2014-2015,50,"Stephen Curry, PG",Golden State Warriors,10629213
88,samuel dalembert,2014-15,33.0,NYK,NBA,32,21.0,544.0,11.8,0.0,0.154,10.9,25.1,17.8,8.6,1.4,6.3,21.9,15.0,90.0,104.0,-0.4,0.7,0.3,0.023,-5.2,3.0,-2.2,0.0,Haiti,Black,2002,2015,C,6-11,255,"May 10, 1981",Seton Hall University,2014-2015,154,"Samuel Dalembert, C",New York Knicks,4051527
89,troy daniels,2014-15,23.0,TOT,NBA,47,0.0,397.0,9.6,0.715,0.079,2.2,7.2,4.7,9.2,0.8,0.2,10.5,21.3,99.0,112.0,0.1,0.1,0.2,0.022,-0.3,-4.6,-4.9,-0.3,Virginia,Black,2014,2016,G,6-4,205,"July 15, 1991",Virginia Commonwealth University,2014-2015,367,"Troy Daniels, SG",Charlotte Hornets,816482
90,luigi datome,2014-15,27.0,TOT,NBA,21,1.0,209.0,15.1,0.449,0.011,1.5,13.9,7.6,7.6,0.5,2.6,9.1,20.7,107.0,107.0,0.2,0.2,0.4,0.095,-0.3,-1.8,-2.1,0.0,Italy,White,2014,2015,F,6-8,215,"November 27, 1987",,2014-2015,271,"Luigi Datome, SF",Detroit Pistons,1750000
91,anthony davis,2014-15,21.0,NOP,NBA,68,68.0,2455.0,30.8,0.01,0.384,8.0,24.1,16.1,11.6,2.1,6.2,6.3,27.8,122.0,100.0,9.9,4.2,14.0,0.274,4.2,3.0,7.1,5.7,Illinois,Black and White,2013,2016,F-C,6-10,253,"March 11, 1993",University of Kentucky,2014-2015,111,"Anthony Davis, PF",New Orleans Pelicans,5607240
92,ed davis,2014-15,25.0,LAL,NBA,79,24.0,1840.0,20.0,0.0,0.403,13.3,23.1,18.0,8.3,1.4,4.3,9.5,14.8,124.0,107.0,4.6,1.6,6.3,0.164,1.1,1.9,3.0,2.3,District of Columbia,Black,2011,2016,F,6-10,240,"June 5, 1989",University of North Carolina,2014-2015,337,"Ed Davis, C",Los Angeles Lakers,981084
93,andre dawkins,2014-15,23.0,MIA,NBA,4,0.0,22.0,-5.0,1.0,0.0,0.0,10.7,5.5,6.6,0.0,0.0,14.3,15.0,53.0,113.0,-0.1,0.0,-0.1,-0.172,-7.5,-3.9,-11.5,-0.1,Virginia,Black,2015,2015,G,6-5,215,"September 19, 1991",Duke University,2014-2015,431,"Andre Dawkins, SG",Miami Heat,29843
94,austin daye,2014-15,26.0,TOT,NBA,34,4.0,344.0,8.2,0.504,0.043,3.4,21.0,12.4,7.5,1.8,1.1,13.8,22.1,85.0,101.0,-0.6,0.5,0.0,-0.001,-4.4,-1.0,-5.4,-0.3,California,Black and White,2010,2015,F,6-11,220,"June 5, 1988",Gonzaga University,2014-2015,428,"Austin Daye, SF",San Antonio Spurs,53838
95,luol deng,2014-15,29.0,MIA,NBA,72,72.0,2421.0,15.5,0.28,0.319,5.2,13.3,9.3,9.9,1.4,0.8,10.7,19.5,110.0,109.0,3.7,1.6,5.4,0.106,1.1,-0.6,0.5,1.5,South Sudan,Black,2005,2016,F,6-9,220,"April 16, 1985",Duke University,2014-2015,56,"Luol Deng, SF",Miami Heat,9714461
96,demar derozan,2014-15,25.0,TOR,NBA,60,60.0,2100.0,17.4,0.089,0.438,2.3,12.9,7.6,17.0,1.8,0.4,10.4,28.4,104.0,109.0,2.6,1.4,4.0,0.09,-0.2,-1.4,-1.6,0.2,California,Black,2010,2016,G,6-7,220,"August 7, 1989",University of Southern California,2014-2015,54,"DeMar DeRozan, SG",Toronto Raptors,10100000
97,boris diaw,2014-15,32.0,SAS,NBA,81,15.0,1984.0,12.7,0.267,0.147,4.5,15.2,10.0,17.9,0.9,0.9,15.8,18.3,103.0,105.0,1.3,2.3,3.6,0.088,-0.6,0.7,0.1,1.1,France,Black and White,2004,2016,F-C,6-8,250,"April 16, 1982",,2014-2015,78,"Boris Diaw, C",San Antonio Spurs,7500000
98,gorgui dieng,2014-15,25.0,MIN,NBA,73,49.0,2193.0,17.2,0.012,0.477,11.3,20.8,15.9,10.5,1.6,4.5,16.9,15.0,113.0,108.0,3.4,1.5,4.9,0.108,0.1,2.4,2.5,2.5,Senegal,Black,2014,2016,C,6-11,241,"January 18, 1990",University of Louisville,2014-2015,295,"Gorgui Dieng, C",Minnesota Timberwolves,1413480
99,spencer dinwiddie,2014-15,21.0,DET,NBA,34,1.0,455.0,10.2,0.385,0.201,0.9,10.9,5.7,34.9,2.2,1.0,15.2,21.1,92.0,107.0,-0.3,0.4,0.1,0.009,-2.6,-1.5,-4.2,-0.2,California,Black,2015,2016,G,6-6,200,"April 6, 1993",University of Colorado,2014-2015,382,"Spencer Dinwiddie, PG",Detroit Pistons,700000
100,joey dorsey,2014-15,31.0,HOU,NBA,69,17.0,854.0,11.1,0.007,0.572,13.3,22.7,18.0,4.4,2.3,2.3,18.4,11.3,103.0,100.0,0.4,1.5,1.9,0.108,-3.5,2.1,-1.4,0.1,Maryland,Black,2009,2015,F,6-8,268,"December 16, 1983",University of Memphis,2014-2015,343,"Joey Dorsey, PF",Houston Rockets,948163
101,toney douglas,2014-15,28.0,NOP,NBA,12,0.0,177.0,11.2,0.353,0.255,1.3,12.8,7.1,20.0,3.3,1.7,15.0,17.2,95.0,104.0,0.0,0.2,0.2,0.046,-2.1,0.8,-1.3,0.0,Georgia,Black,2010,2016,G,6-2,195,"March 16, 1986",Florida State University,2014-2015,419,"Toney Douglas, PG",New Orleans Pelicans,107676
102,goran dragic,2014-15,28.0,TOT,NBA,78,78.0,2640.0,17.4,0.258,0.234,3.5,8.2,5.9,22.8,1.5,0.5,13.5,21.8,112.0,110.0,5.4,1.4,6.8,0.123,2.5,-1.4,1.1,2.1,Slovenia,White,2009,2016,G,6-3,190,"May 6, 1986",,2014-2015,80,"Goran Dragic, PG",Phoenix Suns,7500000
103,zoran dragic,2014-15,25.0,TOT,NBA,16,1.0,75.0,8.2,0.467,0.167,7.8,4.6,6.2,11.2,1.4,0.0,13.4,22.9,89.0,112.0,-0.1,0.0,-0.1,-0.042,-2.5,-4.0,-6.5,-0.1,Slovenia,White,2015,2015,G-F,6-5,200,"June 22, 1989",,2014-2015,272,"Zoran Dragic, SG",Phoenix Suns,1706225
104,andre drummond,2014-15,21.0,DET,NBA,82,82.0,2502.0,21.4,0.002,0.38,18.3,30.1,24.0,3.9,1.5,4.8,9.7,22.0,107.0,100.0,3.4,4.3,7.7,0.147,-1.2,1.1,-0.2,1.2,New York,Black,2013,2016,C,6-11,279,"August 10, 1993",University of Connecticut,2014-2015,224,"Andre Drummond, C",Detroit Pistons,2568360
105,jared dudley,2014-15,29.0,MIL,NBA,72,22.0,1717.0,12.3,0.454,0.158,3.0,11.6,7.3,11.5,2.1,0.5,12.1,13.5,112.0,104.0,2.0,2.1,4.1,0.116,0.1,0.5,0.6,1.1,California,Black and White,2008,2016,F-G,6-7,225,"July 10, 1985",Boston College,2014-2015,149,"Jared Dudley, SF",Milwaukee Bucks,4250000
106,tim duncan,2014-15,38.0,SAS,NBA,77,77.0,2227.0,22.6,0.009,0.38,8.8,26.7,17.9,16.8,1.4,5.1,12.1,22.2,113.0,97.0,4.9,4.7,9.6,0.207,0.8,4.7,5.5,4.2,U.S. Virgin Islands,Black,1998,2016,F-C,6-11,250,"April 25, 1976",Wake Forest University,2014-2015,52,"Tim Duncan, C",San Antonio Spurs,10361446
107,mike dunleavy,2014-15,34.0,CHI,NBA,63,63.0,1838.0,11.6,0.547,0.181,1.7,12.7,7.3,9.7,1.1,0.8,10.4,14.2,113.0,106.0,2.4,1.7,4.1,0.108,0.6,-0.2,0.4,1.1,Texas,White,2003,2016,F-G,6-9,230,"September 15, 1980",Duke University,2014-2015,183,"Mike Dunleavy, SG",Chicago Bulls,3326235
108,kevin durant,2014-15,26.0,OKC,NBA,27,27.0,913.0,27.6,0.34,0.366,1.9,18.7,10.4,22.2,1.3,2.2,12.0,29.1,121.0,105.0,3.8,1.0,4.8,0.252,6.3,-0.2,6.1,1.9,District of Columbia,Black,2008,2016,F,6-9,240,"September 29, 1988",University of Texas at Austin,2014-2015,10,"Kevin Durant, SF",Oklahoma City Thunder,18995624
109,monta ellis,2014-15,29.0,DAL,NBA,80,80.0,2699.0,16.5,0.21,0.224,1.4,6.4,3.9,20.5,2.8,0.8,11.7,27.9,100.0,107.0,1.4,2.2,3.6,0.065,0.7,-0.7,-0.1,1.3,Mississippi,Black,2006,2016,G,6-3,185,"October 26, 1985",,2014-2015,72,"Monta Ellis, SG",Dallas Mavericks,8360000
110,james ennis,2014-15,24.0,MIA,NBA,62,3.0,1051.0,11.5,0.385,0.381,6.0,14.0,10.1,7.2,1.3,1.4,11.9,14.6,110.0,108.0,1.2,0.8,1.9,0.088,-0.9,-0.6,-1.5,0.1,California,Black,2015,2016,F,6-7,210,"July 1, 1990","California State University, Long Beach",2014-2015,388,"James Ennis, SF",Miami Heat,507336
111,tyler ennis,2014-15,20.0,TOT,NBA,33,1.0,411.0,7.3,0.299,0.049,1.9,7.7,4.8,27.3,2.2,1.0,22.2,20.6,83.0,105.0,-0.8,0.5,-0.3,-0.04,-5.2,-1.5,-6.7,-0.5,Canada,Black,2015,2016,G,6-3,194,"August 24, 1994",Syracuse University,2014-2015,280,"Tyler Ennis, PG",Phoenix Suns,1590720
112,jeremy evans,2014-15,27.0,UTA,NBA,38,0.0,266.0,20.5,0.086,0.5,11.3,19.4,15.4,7.9,2.2,3.6,6.6,13.1,139.0,101.0,0.9,0.4,1.3,0.241,1.5,2.0,3.5,0.4,Arkansas,Black,2011,2016,F,6-9,196,"October 24, 1987",Western Kentucky University,2014-2015,266,"Jeremy Evans, SF",Utah Jazz,1794871
113,reggie evans,2014-15,34.0,SAC,NBA,47,7.0,764.0,11.7,0.015,0.708,14.9,29.0,22.2,6.1,1.4,0.5,20.0,13.0,103.0,106.0,0.4,0.8,1.2,0.074,-2.7,0.0,-2.7,-0.1,Florida,Black,2003,2015,F,6-8,245,"May 18, 1980",University of Iowa,2014-2015,268,"Reggie Evans, C",Sacramento Kings,1768653
114,tyreke evans,2014-15,25.0,NOP,NBA,79,76.0,2690.0,17.7,0.195,0.25,3.5,14.1,8.8,32.7,2.0,1.0,16.0,26.1,103.0,107.0,2.4,2.2,4.6,0.082,1.7,0.1,1.9,2.6,Pennsylvania,Black,2010,2016,G-F,6-6,220,"September 19, 1989",University of Memphis,2014-2015,46,"Tyreke Evans, SG",New Orleans Pelicans,11265416
115,dante exum,2014-15,19.0,UTA,NBA,82,41.0,1817.0,5.7,0.635,0.077,1.7,6.6,4.2,16.6,1.2,0.6,21.5,13.8,90.0,109.0,-1.1,1.0,-0.1,-0.003,-2.6,-1.3,-3.8,-0.8,Australia,Black,2015,2015,G,6-6,190,"July 13, 1995",,2014-2015,172,"Dante Exum, PG",Utah Jazz,3615000
116,festus ezeli,2014-15,25.0,GSW,NBA,46,7.0,504.0,16.2,0.0,0.561,13.3,19.7,16.6,2.5,0.7,6.2,15.6,17.7,111.0,99.0,0.8,0.9,1.7,0.159,-3.0,1.2,-1.8,0.0,Nigeria,Black,2013,2016,C,6-11,255,"October 21, 1989",Vanderbilt University,2014-2015,327,"Festus Ezeli, C",Golden State Warriors,1112880
117,kenneth faried,2014-15,25.0,DEN,NBA,75,71.0,2086.0,18.4,0.011,0.391,12.1,22.9,17.3,7.1,1.5,2.1,12.0,20.3,111.0,106.0,3.5,2.1,5.6,0.13,-0.2,0.9,0.8,1.4,New Jersey,Black,2012,2016,F,6-8,228,"November 19, 1989",Morehead State University,2014-2015,237,"Kenneth Faried, PF",Denver Nuggets,2249768
118,jordan farmar,2014-15,28.0,LAC,NBA,36,0.0,529.0,9.9,0.614,0.07,1.7,7.1,4.5,18.0,1.9,0.8,16.4,16.6,101.0,108.0,0.2,0.4,0.6,0.053,-0.7,-1.3,-2.0,0.0,California,Black and White,2007,2015,G,6-2,180,"November 30, 1986","University of California, Los Angeles",2014-2015,247,"Jordan Farmar, PG",Los Angeles Clippers,2077000
119,derrick favors,2014-15,23.0,UTA,NBA,74,74.0,2280.0,21.8,0.007,0.362,10.0,20.7,15.4,9.4,1.4,4.3,10.2,23.8,113.0,102.0,5.0,3.3,8.3,0.175,0.8,1.7,2.4,2.6,Georgia,Black,2011,2016,F-C,6-10,265,"July 15, 1991",Georgia Institute of Technology,2014-2015,33,"Derrick Favors, PF",Utah Jazz,12950000
120,raymond felton,2014-15,30.0,DAL,NBA,29,3.0,281.0,12.4,0.321,0.142,0.8,9.4,5.1,21.9,2.0,1.2,13.8,20.7,98.0,108.0,0.0,0.2,0.2,0.039,-1.8,-1.3,-3.0,-0.1,South Carolina,Black,2006,2016,G,6-1,205,"June 26, 1984",University of North Carolina,2014-2015,167,"Raymond Felton, PG",Dallas Mavericks,3793693
121,landry fields,2014-15,26.0,TOR,NBA,26,9.0,216.0,10.8,0.049,0.146,5.3,8.5,6.9,10.1,2.6,0.0,15.5,10.8,109.0,109.0,0.2,0.1,0.3,0.072,-1.5,0.1,-1.5,0.0,California,White,2011,2015,F,6-7,210,"June 27, 1988",Stanford University,2014-2015,101,"Landry Fields, SG",Toronto Raptors,6250000
122,evan fournier,2014-15,22.0,ORL,NBA,58,32.0,1661.0,12.4,0.391,0.256,1.9,8.7,5.2,11.5,1.2,0.1,11.4,19.7,105.0,111.0,1.5,0.6,2.1,0.059,0.2,-2.3,-2.1,-0.1,France,White,2013,2016,G-F,6-7,205,"October 29, 1992",,2014-2015,286,"Evan Fournier, SG",Orlando Magic,1483920
123,randy foye,2014-15,31.0,DEN,NBA,50,21.0,1087.0,11.0,0.654,0.137,0.9,7.8,4.2,17.0,1.6,0.8,12.3,19.3,102.0,111.0,0.6,0.4,1.0,0.045,0.7,-1.8,-1.1,0.2,New Jersey,Black,2007,2016,G,6-4,213,"September 24, 1983",Villanova University,2014-2015,204,"Randy Foye, SG",Denver Nuggets,3000000
124,tim frazier,2014-15,24.0,TOT,NBA,11,3.0,239.0,8.1,0.279,0.344,2.6,10.2,6.3,39.4,1.7,0.0,26.2,17.5,88.0,108.0,-0.3,0.2,-0.1,-0.017,-4.9,-2.4,-7.3,-0.3,Texas,Black and White,2015,2016,G,6-1,170,"November 1, 1990",Pennsylvania State University,2014-2015,424,"Tim Frazier, PG",Portland Trail Blazers,59686
125,joel freeland,2014-15,27.0,POR,NBA,48,8.0,617.0,12.2,0.0,0.166,11.0,21.9,16.6,3.8,0.7,2.7,12.4,13.4,109.0,102.0,0.6,0.9,1.6,0.122,-3.0,1.2,-1.8,0.0,England,White,2013,2015,F-C,6-10,250,"February 7, 1987",,2014-2015,202,"Joel Freeland, C",Portland Trail Blazers,3013512
126,channing frye,2014-15,31.0,ORL,NBA,75,51.0,1870.0,9.5,0.71,0.072,1.6,16.4,8.9,7.4,1.3,1.7,13.4,14.1,101.0,108.0,0.7,1.4,2.1,0.053,-0.9,0.0,-0.9,0.5,New York,Black,2006,2016,F-C,6-11,255,"May 17, 1983",University of Arizona,2014-2015,67,"Channing Frye, PF",Orlando Magic,8579088
127,danilo gallinari,2014-15,26.0,DEN,NBA,59,27.0,1426.0,16.8,0.53,0.336,2.3,14.7,8.3,9.4,1.6,1.1,8.0,21.5,114.0,109.0,3.0,1.0,3.9,0.132,2.3,-1.1,1.3,1.2,Italy,White,2009,2016,F,6-10,225,"August 8, 1988",,2014-2015,49,"Danilo Gallinari, SF",Denver Nuggets,10854850
128,langston galloway,2014-15,23.0,NYK,NBA,45,41.0,1457.0,12.3,0.344,0.153,2.9,12.5,7.5,17.6,1.9,0.7,10.1,19.2,101.0,111.0,0.7,0.6,1.3,0.043,0.0,-1.1,-1.1,0.3,Louisiana,Black,2015,2016,G,6-2,200,"December 9, 1991",Saint Joseph's University,2014-2015,409,"Langston Galloway, SG",New York Knicks,235762
129,marc gasol,2014-15,30.0,MEM,NBA,81,81.0,2687.0,21.7,0.016,0.41,4.9,21.8,13.4,19.7,1.4,4.0,12.2,24.6,111.0,100.0,5.5,4.7,10.2,0.182,1.3,3.5,4.8,4.6,Spain,White,2009,2016,C,7-1,255,"January 29, 1985",,2014-2015,16,"Marc Gasol, C",Memphis Grizzlies,15829688
130,pau gasol,2014-15,34.0,CHI,NBA,78,78.0,2681.0,22.7,0.023,0.317,9.2,27.6,18.6,14.4,0.5,4.0,10.7,24.7,112.0,101.0,6.0,4.4,10.4,0.187,0.7,2.1,2.8,3.2,Spain,White,2002,2016,F-C,7-0,250,"July 6, 1980",,2014-2015,84,"Pau Gasol, C",Chicago Bulls,7128000
131,rudy gay,2014-15,28.0,SAC,NBA,68,67.0,2408.0,19.7,0.197,0.352,4.8,13.7,9.4,19.0,1.5,1.3,12.4,27.0,110.0,110.0,4.8,1.3,6.1,0.122,2.8,-0.7,2.1,2.5,Maryland,Black,2007,2016,F,6-8,230,"August 17, 1986",University of Connecticut,2014-2015,9,"Rudy Gay, SF",Sacramento Kings,19317326
132,paul george,2014-15,24.0,IND,NBA,6,0.0,91.0,13.0,0.449,0.224,4.9,21.7,13.4,11.8,2.8,0.9,18.2,32.8,87.0,99.0,-0.2,0.2,0.0,-0.008,-2.7,-0.7,-3.3,0.0,California,Black,2011,2016,F,6-9,220,"May 2, 1990","California State University, Fresno",2014-2015,15,"Paul George, SF",Indiana Pacers,15937290
133,manu ginobili,2014-15,37.0,SAS,NBA,70,0.0,1587.0,16.2,0.438,0.346,2.0,12.8,7.5,28.6,2.2,0.9,18.5,23.9,103.0,102.0,1.4,2.3,3.7,0.111,1.4,0.3,1.7,1.5,Argentina,White,2003,2016,G,6-6,205,"July 28, 1977",,2014-2015,87,"Manu Ginobili, SG",San Antonio Spurs,7000000
134,rudy gobert,2014-15,22.0,UTA,NBA,82,37.0,2158.0,21.6,0.005,0.639,14.3,27.2,20.7,8.2,1.6,7.0,16.9,14.0,122.0,98.0,5.0,4.3,9.3,0.206,0.7,5.1,5.8,4.3,France,Black and White,2014,2016,C,7-1,245,"June 26, 1992",,2014-2015,325,"Rudy Gobert, C",Utah Jazz,1127400
135,drew gooden,2014-15,33.0,WAS,NBA,51,7.0,864.0,11.9,0.214,0.159,9.6,19.3,14.5,8.6,1.2,0.8,8.7,17.0,103.0,103.0,0.5,1.2,1.7,0.094,-1.8,0.2,-1.6,0.1,California,Black,2003,2016,F,6-10,250,"September 24, 1981",University of Kansas,2014-2015,347,"Drew Gooden, PF",Washington Wizards,915243
136,archie goodwin,2014-15,20.0,PHO,NBA,41,2.0,535.0,11.2,0.204,0.413,5.5,9.7,7.6,12.6,1.7,1.3,16.8,23.4,94.0,108.0,-0.2,0.4,0.2,0.014,-3.3,-1.2,-4.5,-0.3,Arkansas,Black,2014,2016,G,6-5,200,"August 17, 1994",University of Kentucky,2014-2015,328,"Archie Goodwin, SG",Phoenix Suns,1112280
137,aaron gordon,2014-15,19.0,ORL,NBA,47,8.0,797.0,11.4,0.231,0.293,6.4,17.8,12.0,6.3,1.3,2.2,13.9,15.5,101.0,107.0,0.3,0.7,1.0,0.06,-2.8,0.0,-2.8,-0.2,California,Black and White,2015,2016,F,6-9,220,"September 16, 1995",University of Arizona,2014-2015,159,"Aaron Gordon, PF",Orlando Magic,3992040
138,drew gordon,2014-15,24.0,PHI,NBA,9,0.0,71.0,3.7,0.158,0.105,10.2,17.7,13.7,4.8,0.7,0.0,28.7,17.1,73.0,108.0,-0.2,0.1,-0.1,-0.093,-9.0,-2.3,-11.3,-0.2,California,Black and White,2015,2015,F,6-9,245,"July 12, 1990",University of New Mexico,2014-2015,395,"Drew Gordon, C",Philadelphia 76ers,468540
139,eric gordon,2014-15,26.0,NOP,NBA,61,60.0,2018.0,12.7,0.454,0.192,1.6,7.4,4.5,17.6,1.3,0.5,14.0,19.8,106.0,111.0,2.2,0.7,2.9,0.069,1.4,-2.0,-0.6,0.7,Indiana,Black,2009,2016,G,6-4,215,"December 25, 1988",Indiana University,2014-2015,23,"Eric Gordon, SG",New Orleans Pelicans,14898938
