Player,Season,Age,Tm,Lg,G,GS,MP,PER,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Place_of_Birth,Race,From,To,Pos,Ht,Wt,Birth Date,College,SEASON,RK,NAME,TEAM,SALARY
isaiah canaan,2013-14,22.0,HOU,NBA,22,0.0,252.0,9.5,0.632,0.333,3.3,7.1,5.3,13.2,1.6,1.2,17.4,21.0,97.0,109.0,0.0,0.2,0.2,0.031,-1.4,-2.0,-3.4,-0.1,Mississippi,Black,2014,2016,G,6-0,201,"May 21, 1991",Murray State University,2013-2014,339,"Isaiah Canaan, PG",Houston Rockets,570515
demarre carroll,2013-14,27.0,ATL,NBA,73,73.0,2341.0,13.9,0.417,0.22,5.3,14.5,10.0,8.9,2.3,0.7,10.1,15.2,113.0,106.0,3.2,2.6,5.8,0.119,1.0,1.1,2.1,2.4,Alabama,Black,2010,2016,F,6-8,212,"July 27, 1986",University of Missouri,2013-2014,207,"DeMarre Carroll, SF",Atlanta Hawks,2557545
vince carter,2013-14,37.0,DAL,NBA,81,0.0,1973.0,15.9,0.457,0.242,4.0,12.6,8.3,16.5,1.6,1.5,10.7,23.1,109.0,110.0,3.0,1.3,4.3,0.105,2.2,-1.0,1.1,1.6,Florida,Black and White,1999,2016,G-F,6-6,220,"January 26, 1977",University of North Carolina,2013-2014,180,"Vince Carter, SG",Dallas Mavericks,3180000
michael carter-williams,2013-14,22.0,PHI,NBA,70,70.0,2414.0,15.5,0.197,0.348,4.3,15.6,9.8,30.2,2.6,1.4,16.9,25.7,96.0,108.0,-0.8,2.1,1.3,0.026,-0.6,0.4,-0.2,1.1,Massachusetts,Black and White,2014,2016,G,6-6,190,"October 10, 1991",Syracuse University,2013-2014,221,"Michael Carter-Williams, PG",Philadelphia 76ers,2200920
omri casspi,2013-14,25.0,HOU,NBA,71,2.0,1283.0,12.9,0.429,0.298,5.1,16.8,11.3,10.5,1.7,0.8,13.4,18.3,105.0,106.0,1.0,1.4,2.4,0.091,-0.6,-0.2,-0.8,0.4,Israel,White,2010,2016,F,6-9,225,"June 22, 1988",,2013-2014,307,"Omri Casspi, SF",Houston Rockets,947907
mario chalmers,2013-14,27.0,MIA,NBA,73,73.0,2178.0,14.0,0.404,0.291,2.5,9.6,6.2,24.3,2.9,0.6,20.4,17.4,108.0,106.0,2.4,2.5,4.8,0.106,1.0,0.2,1.2,1.7,Alaska,Black,2009,2016,G,6-2,190,"May 19, 1986",University of Kansas,2013-2014,144,"Mario Chalmers, PG",Miami Heat,4000000
tyson chandler,2013-14,31.0,NYK,NBA,55,55.0,1662.0,16.4,0.003,0.481,10.9,27.0,18.7,5.5,1.2,3.4,15.4,12.9,120.0,106.0,3.1,1.9,4.9,0.143,-0.6,1.8,1.3,1.4,California,Black and White,2002,2016,C,7-1,240,"October 2, 1982",,2013-2014,28,"Tyson Chandler, C",New York Knicks,14100538
wilson chandler,2013-14,26.0,DEN,NBA,62,55.0,1927.0,12.4,0.476,0.206,3.2,13.3,8.2,9.3,1.2,1.2,8.9,19.5,107.0,110.0,1.8,1.2,3.1,0.076,0.7,-0.6,0.2,1.1,Michigan,Black,2008,2015,F,6-8,225,"May 10, 1987",DePaul University,2013-2014,96,"Wilson Chandler, SF",Denver Nuggets,6344164
ian clark,2013-14,22.0,UTA,NBA,23,0.0,172.0,9.2,0.463,0.104,1.9,11.1,6.4,14.7,2.4,0.9,16.7,22.4,90.0,111.0,-0.2,0.1,-0.1,-0.025,-2.6,-2.1,-4.7,-0.1,Tennessee,Black,2014,2016,G,6-3,175,"March 7, 1991",Belmont University,2013-2014,350,"Ian Clark, SG",Utah Jazz,490180
victor claver,2013-14,25.0,POR,NBA,21,0.0,184.0,8.8,0.429,0.262,5.3,17.4,11.4,9.1,0.8,1.1,19.0,13.7,99.0,108.0,0.0,0.2,0.2,0.047,-3.0,0.0,-3.0,0.0,Spain,White,2013,2015,F,6-9,224,"August 30, 1988",,2013-2014,275,"Victor Claver, PF",Portland Trail Blazers,1330000
norris cole,2013-14,25.0,MIA,NBA,82,6.0,2014.0,8.8,0.348,0.136,1.1,8.6,5.0,17.9,2.0,0.2,19.3,15.6,96.0,108.0,-0.5,1.7,1.2,0.029,-2.2,-0.8,-3.0,-0.5,Ohio,Black,2012,2016,G,6-2,175,"October 13, 1988",Cleveland State University,2013-2014,289,"Norris Cole, PG",Miami Heat,1129200
jason collins,2013-14,35.0,BRK,NBA,22,1.0,172.0,4.1,0.125,0.167,4.9,8.3,6.6,3.5,2.4,0.5,21.4,8.9,91.0,109.0,-0.1,0.1,0.1,0.017,-4.1,0.5,-3.6,-0.1,California,Black,2002,2014,C,7-0,255,"December 2, 1978",Stanford University,2013-2014,364,"Jason Collins, C",Brooklyn Nets,275691
darren collison,2013-14,26.0,LAC,NBA,80,35.0,2069.0,16.2,0.272,0.323,2.6,7.3,5.0,21.9,2.2,0.6,14.3,19.7,113.0,107.0,3.8,2.0,5.9,0.136,1.4,-0.4,1.0,1.6,California,Black,2010,2016,G,6-0,175,"August 23, 1987","University of California, Los Angeles",2013-2014,236,"Darren Collison, PG",Los Angeles Clippers,1900000
nick collison,2013-14,33.0,OKC,NBA,81,0.0,1353.0,11.8,0.071,0.386,10.2,14.1,12.2,10.9,1.1,1.7,20.1,11.6,117.0,106.0,2.0,1.6,3.6,0.128,-0.5,1.1,0.6,0.9,Iowa,White,2005,2016,F,6-10,255,"October 26, 1980",University of Kansas,2013-2014,205,"Nick Collison, PF",Oklahoma City Thunder,2585668
mike conley,2013-14,26.0,MEM,NBA,73,73.0,2446.0,20.0,0.283,0.268,2.0,8.4,5.2,30.1,2.4,0.4,11.5,24.6,113.0,106.0,5.5,2.7,8.2,0.161,4.1,-0.7,3.4,3.3,Arkansas,Black,2008,2016,G,6-1,175,"October 11, 1987",Ohio State University,2013-2014,65,"Mike Conley, PG",Memphis Grizzlies,8600001
chris copeland,2013-14,29.0,IND,NBA,41,0.0,265.0,17.6,0.675,0.12,3.1,10.1,6.8,12.6,0.6,2.0,10.2,23.7,116.0,103.0,0.6,0.4,1.0,0.186,3.5,-2.1,1.4,0.2,New Jersey,Black,2013,2016,F,6-9,239,"March 17, 1984",University of Colorado,2013-2014,191,"Chris Copeland, F",Indiana Pacers,3000000
demarcus cousins,2013-14,23.0,SAC,NBA,71,71.0,2298.0,26.1,0.006,0.5,10.6,30.5,20.4,17.8,2.4,3.2,14.7,32.7,107.0,101.0,4.1,3.8,7.9,0.166,1.9,2.9,4.7,3.9,Alabama,Black,2011,2016,C-F,6-11,270,"August 13, 1990",University of Kentucky,2013-2014,123,"DeMarcus Cousins, C",Sacramento Kings,4916974
allen crabbe,2013-14,21.0,POR,NBA,15,0.0,100.0,7.7,0.424,0.121,1.1,8.5,4.8,8.7,1.0,0.7,7.9,16.5,100.0,110.0,0.0,0.1,0.1,0.037,-2.7,-2.1,-4.7,-0.1,California,Black,2014,2016,G-F,6-6,210,"April 9, 1992",University of California,2013-2014,321,"Allen Crabbe, SG",Portland Trail Blazers,825000
jamal crawford,2013-14,33.0,LAC,NBA,69,24.0,2094.0,17.3,0.441,0.318,1.9,6.4,4.2,17.4,1.4,0.4,10.5,27.2,110.0,109.0,3.8,1.5,5.3,0.122,2.7,-2.6,0.2,1.2,Washington,Black,2001,2016,G,6-5,195,"March 20, 1980",University of Michigan,2013-2014,113,"Jamal Crawford, SG",Los Angeles Clippers,5225000
jordan crawford,2013-14,25.0,TOT,NBA,81,35.0,1859.0,14.3,0.362,0.214,1.7,9.5,5.5,25.1,1.3,0.2,13.4,23.7,104.0,109.0,1.5,1.4,2.8,0.073,0.4,-2.2,-1.8,0.1,Michigan,Black,2011,2014,G,6-4,195,"October 23, 1988",Xavier University,2013-2014,223,"Jordan Crawford, SG",Golden State Warriors,2162419
dante cunningham,2013-14,26.0,MIN,NBA,81,7.0,1635.0,12.6,0.01,0.132,7.3,14.9,11.0,7.7,1.9,2.7,7.2,15.1,104.0,105.0,0.9,2.0,2.9,0.085,-2.2,2.1,-0.1,0.8,Maryland,Black,2010,2016,F,6-8,230,"April 22, 1987",Villanova University,2013-2014,222,"Dante Cunningham, PF",Minnesota Timberwolves,2180000
jared cunningham,2013-14,22.0,TOT,NBA,13,0.0,80.0,8.5,0.333,0.762,1.4,7.2,4.3,14.4,1.9,0.0,6.7,16.6,108.0,110.0,0.1,0.0,0.1,0.075,-2.4,-2.7,-5.1,-0.1,California,Black and White,2013,2016,G,6-4,195,"May 22, 1991",Oregon State University,2013-2014,383,"Jared Cunningham, SG",Sacramento Kings,46404
stephen curry,2013-14,25.0,GSW,NBA,78,78.0,2846.0,24.1,0.445,0.252,1.8,10.9,6.4,39.9,2.2,0.4,16.1,28.3,117.0,104.0,9.3,4.0,13.4,0.225,7.4,0.0,7.4,6.7,Ohio,Black and White,2010,2016,G,6-3,185,"March 14, 1988",Davidson College,2013-2014,55,"Stephen Curry, PG",Golden State Warriors,9887642
samuel dalembert,2013-14,32.0,DAL,NBA,80,68.0,1614.0,16.8,0.003,0.363,14.4,24.2,19.4,3.4,1.3,4.8,17.1,14.8,117.0,105.0,2.9,2.1,4.9,0.147,-0.9,1.5,0.6,1.1,Haiti,Black,2002,2015,C,6-11,255,"May 10, 1981",Seton Hall University,2013-2014,155,"Samuel Dalembert, C",Dallas Mavericks,3700748
troy daniels,2013-14,22.0,HOU,NBA,5,1.0,75.0,16.0,0.806,0.0,0.0,5.6,3.0,11.4,0.0,0.0,8.8,19.9,126.0,114.0,0.2,0.0,0.2,0.15,4.3,-5.5,-1.2,0.0,Virginia,Black,2014,2016,G,6-4,205,"July 15, 1991",Virginia Commonwealth University,2013-2014,370,"Troy Daniels, SG",Houston Rockets,158588
luigi datome,2013-14,26.0,DET,NBA,34,0.0,238.0,8.0,0.402,0.103,6.1,15.5,10.6,7.0,1.3,0.3,9.8,20.2,90.0,112.0,-0.2,0.1,-0.1,-0.023,-3.8,-3.2,-7.0,-0.3,Italy,White,2014,2015,F,6-8,215,"November 27, 1987",,2013-2014,243,"Luigi Datome, SF",Detroit Pistons,1750000
anthony davis,2013-14,20.0,NOP,NBA,67,66.0,2358.0,26.5,0.009,0.438,10.0,23.3,16.6,8.0,2.0,6.7,8.3,25.2,119.0,104.0,7.2,3.2,10.4,0.212,2.3,2.2,4.5,3.9,Illinois,Black and White,2013,2016,F-C,6-10,253,"March 11, 1993",University of Kentucky,2013-2014,109,"Anthony Davis, PF",New Orleans Pelicans,5375760
ed davis,2013-14,24.0,MEM,NBA,63,4.0,956.0,15.9,0.0,0.307,11.4,20.9,16.1,4.5,0.9,3.7,10.8,17.8,110.0,103.0,1.2,1.4,2.6,0.129,-1.9,0.5,-1.3,0.2,District of Columbia,Black,2011,2016,F,6-10,240,"June 5, 1989",University of North Carolina,2013-2014,182,"Ed Davis, C",Memphis Grizzlies,3153860
austin daye,2013-14,25.0,TOT,NBA,22,1.0,148.0,11.0,0.544,0.147,3.9,16.4,10.4,8.2,1.4,2.0,6.5,23.7,94.0,103.0,-0.1,0.2,0.1,0.047,-1.8,-1.4,-3.2,0.0,California,Black and White,2010,2015,F,6-11,220,"June 5, 1988",Gonzaga University,2013-2014,308,"Austin Daye, SF",Toronto Raptors,947907
nando de colo,2013-14,26.0,TOT,NBA,47,3.0,494.0,13.1,0.346,0.229,3.3,13.3,8.4,19.7,2.3,0.9,17.2,18.6,103.0,103.0,0.3,0.7,1.0,0.1,-1.0,0.6,-0.4,0.2,France,White,2013,2014,G,6-5,200,"June 23, 1987",,2013-2014,262,"Nando De Colo, PG",Toronto Raptors,1463000
dewayne dedmon,2013-14,24.0,TOT,NBA,31,6.0,390.0,10.7,0.0,0.386,10.7,25.8,18.1,1.9,0.9,4.5,15.6,13.1,100.0,105.0,0.1,0.5,0.6,0.07,-6.0,0.0,-6.0,-0.4,California,Black,2014,2016,C,7-0,245,"August 12, 1989",University of Southern California,2013-2014,363,"Dewayne Dedmon, C",Philadelphia 76ers,300000
matthew dellavedova,2013-14,23.0,CLE,NBA,72,4.0,1271.0,10.7,0.524,0.162,2.5,8.5,5.4,22.1,1.3,0.3,15.9,13.2,111.0,111.0,1.4,0.7,2.1,0.078,-0.5,-1.7,-2.1,0.0,Australia,White,2014,2016,G,6-4,198,"September 8, 1990",Saint Mary's College of California,2013-2014,354,"Matthew Dellavedova, PG",Cleveland Cavaliers,490180
luol deng,2013-14,28.0,TOT,NBA,63,63.0,2213.0,15.2,0.22,0.312,5.0,13.4,9.2,14.6,1.5,0.3,10.4,22.3,106.0,107.0,2.2,2.3,4.5,0.098,0.4,-0.2,0.2,1.2,South Sudan,Black,2005,2016,F,6-9,220,"April 16, 1985",Duke University,2013-2014,27,"Luol Deng, SF",Cleveland Cavaliers,14275000
demar derozan,2013-14,24.0,TOR,NBA,79,79.0,3017.0,18.4,0.149,0.448,2.0,11.3,6.6,18.9,1.5,0.7,9.5,28.0,110.0,107.0,5.8,3.0,8.8,0.141,1.4,-0.7,0.7,2.0,California,Black,2010,2016,G,6-7,220,"August 7, 1989",University of Southern California,2013-2014,57,"DeMar DeRozan, SG",Toronto Raptors,9500000
boris diaw,2013-14,31.0,SAS,NBA,79,24.0,1974.0,14.1,0.193,0.159,4.4,13.8,9.3,16.3,1.1,1.2,16.3,17.0,109.0,104.0,2.3,2.6,4.9,0.12,0.2,1.4,1.6,1.8,France,Black and White,2004,2016,F-C,6-8,250,"April 16, 1982",,2013-2014,126,"Boris Diaw, C",San Antonio Spurs,4702500
gorgui dieng,2013-14,24.0,MIN,NBA,60,15.0,818.0,16.5,0.004,0.41,13.4,26.9,20.0,7.2,1.8,4.6,16.8,16.8,106.0,100.0,0.7,1.5,2.2,0.129,-2.4,3.1,0.7,0.5,Senegal,Black,2014,2016,C,6-11,241,"January 18, 1990",University of Louisville,2013-2014,273,"Gorgui Dieng, C",Minnesota Timberwolves,1352640
toney douglas,2013-14,27.0,TOT,NBA,51,17.0,675.0,9.2,0.537,0.179,3.4,11.9,7.8,14.6,1.5,0.6,14.2,16.3,101.0,107.0,0.2,0.7,0.9,0.061,-1.5,-0.8,-2.3,-0.1,Georgia,Black,2010,2016,G,6-2,195,"March 16, 1986",Florida State University,2013-2014,250,"Toney Douglas, PG",Miami Heat,1600000
chris douglas-roberts,2013-14,27.0,CHA,NBA,49,8.0,1016.0,12.2,0.524,0.325,1.8,11.5,6.6,7.9,1.5,1.2,11.1,14.7,111.0,105.0,1.1,1.2,2.4,0.113,-0.3,0.4,0.1,0.5,Michigan,Black,2009,2015,G,6-7,200,"January 8, 1987",University of Memphis,2013-2014,335,"Chris Douglas-Roberts, SG",Charlotte Bobcats,660619
goran dragic,2013-14,27.0,PHO,NBA,76,75.0,2668.0,21.4,0.274,0.381,2.9,7.4,5.2,28.1,2.0,0.6,14.3,24.5,119.0,109.0,8.4,2.0,10.3,0.186,4.9,-1.1,3.9,4.0,Slovenia,White,2009,2016,G,6-3,190,"May 6, 1986",,2013-2014,84,"Goran Dragic, PG",Phoenix Suns,7500000
andre drummond,2013-14,20.0,DET,NBA,81,81.0,2619.0,22.6,0.003,0.427,17.5,27.7,22.3,2.2,2.0,4.0,10.7,16.7,121.0,104.0,6.4,3.5,9.9,0.182,1.1,0.5,1.6,2.4,New York,Black,2013,2016,C,6-11,279,"August 10, 1993",University of Connecticut,2013-2014,211,"Andre Drummond, C",Detroit Pistons,2465400
jared dudley,2013-14,28.0,LAC,NBA,74,43.0,1729.0,8.9,0.503,0.13,2.4,7.7,5.1,8.6,1.2,0.4,10.6,13.5,107.0,109.0,1.2,1.2,2.4,0.068,-0.3,-0.4,-0.8,0.5,California,Black and White,2008,2016,F-G,6-7,225,"July 10, 1985",Boston College,2013-2014,139,"Jared Dudley, SF",Los Angeles Clippers,4250000
tim duncan,2013-14,37.0,SAS,NBA,74,74.0,2158.0,21.3,0.006,0.349,8.6,28.3,18.8,16.0,1.0,4.6,13.2,25.2,106.0,98.0,2.8,4.6,7.4,0.164,-0.9,4.0,3.2,2.8,U.S. Virgin Islands,Black,1998,2016,F-C,6-11,250,"April 25, 1976",Wake Forest University,2013-2014,51,"Tim Duncan, C",San Antonio Spurs,10361446
mike dunleavy,2013-14,33.0,CHI,NBA,82,61.0,2584.0,12.6,0.419,0.212,2.1,13.0,7.6,12.3,1.3,1.4,11.3,17.0,108.0,102.0,2.4,4.1,6.5,0.121,-0.3,1.1,0.7,1.8,Texas,White,2003,2016,F-G,6-9,230,"September 15, 1980",Duke University,2013-2014,179,"Mike Dunleavy, SG",Chicago Bulls,3183000
kevin durant,2013-14,25.0,OKC,NBA,81,81.0,3122.0,29.8,0.291,0.477,2.2,18.6,10.8,26.7,1.7,1.5,12.2,33.0,123.0,104.0,14.8,4.4,19.2,0.295,8.4,0.4,8.8,8.5,District of Columbia,Black,2008,2016,F,6-9,240,"September 29, 1988",University of Texas at Austin,2013-2014,15,"Kevin Durant, SF",Oklahoma City Thunder,17832627
wayne ellington,2013-14,26.0,DAL,NBA,45,1.0,393.0,12.2,0.468,0.087,2.4,10.2,6.3,7.1,2.1,0.4,7.8,16.4,110.0,110.0,0.4,0.2,0.7,0.084,0.0,-1.7,-1.7,0.0,Pennsylvania,Black,2010,2016,G,6-4,200,"October 29, 1987",University of North Carolina,2013-2014,202,"Wayne Ellington, SG",Dallas Mavericks,2652000
melvin ely,2013-14,35.0,NOP,NBA,2,0.0,27.0,3.9,0.0,0.0,0.0,4.4,2.2,0.0,0.0,3.1,0.0,10.1,104.0,116.0,0.0,0.0,0.0,0.011,-4.9,-2.8,-7.6,0.0,Illinois,Black,2003,2014,C,6-10,260,"May 2, 1978","California State University, Fresno",2013-2014,384,"Melvin Ely, C",New Orleans Pelicans,29788
jeremy evans,2013-14,26.0,UTA,NBA,66,4.0,1209.0,16.2,0.006,0.226,11.1,18.7,14.8,6.1,1.8,3.0,9.9,15.3,114.0,109.0,1.9,1.0,2.8,0.112,-0.9,0.8,-0.1,0.6,Arkansas,Black,2011,2016,F,6-9,196,"October 24, 1987",Western Kentucky University,2013-2014,246,"Jeremy Evans, SF",Utah Jazz,1660257
reggie evans,2013-14,33.0,TOT,NBA,54,20.0,899.0,11.7,0.0,0.867,14.8,28.4,21.5,3.5,2.1,0.3,21.9,13.4,102.0,104.0,0.3,1.2,1.5,0.08,-3.5,-0.1,-3.6,-0.4,Florida,Black,2003,2015,F,6-8,245,"May 18, 1980",University of Iowa,2013-2014,245,"Reggie Evans, C",Sacramento Kings,1695635
tyreke evans,2013-14,24.0,NOP,NBA,72,22.0,2028.0,18.4,0.106,0.346,4.3,15.4,9.8,30.4,2.2,0.9,14.5,27.1,103.0,110.0,1.8,1.3,3.1,0.073,1.2,-0.4,0.8,1.4,Pennsylvania,Black,2010,2016,G-F,6-6,220,"September 19, 1989",University of Memphis,2013-2014,44,"Tyreke Evans, SG",New Orleans Pelicans,11796247
kenneth faried,2013-14,24.0,DEN,NBA,80,77.0,2178.0,19.8,0.004,0.379,11.8,22.2,16.9,7.5,1.6,2.3,12.4,21.3,113.0,106.0,4.0,2.5,6.5,0.144,0.3,0.9,1.2,1.8,New Jersey,Black,2012,2016,F,6-8,228,"November 19, 1989",Morehead State University,2013-2014,271,"Kenneth Faried, PF",Denver Nuggets,1367640
vitor faverani,2013-14,25.0,BOS,NBA,37,8.0,488.0,11.0,0.272,0.252,9.5,20.6,14.9,5.2,1.5,4.3,20.1,18.6,92.0,104.0,-0.3,0.7,0.3,0.031,-4.2,1.1,-3.1,-0.1,Brazil,White,2014,2014,C,6-11,260,"May 5, 1988",,2013-2014,232,"Vitor Faverani, C",Boston Celtics,2000000
derrick favors,2013-14,22.0,UTA,NBA,73,73.0,2201.0,19.0,0.001,0.38,10.1,23.7,16.7,7.3,1.8,3.8,12.9,20.8,108.0,107.0,2.9,2.3,5.1,0.112,-0.8,1.4,0.7,1.5,Georgia,Black,2011,2016,F-C,6-10,265,"July 15, 1991",Georgia Institute of Technology,2013-2014,101,"Derrick Favors, PF",Utah Jazz,6008196
carrick felix,2013-14,23.0,CLE,NBA,7,0.0,38.0,13.3,0.357,0.286,2.9,15.1,8.9,18.2,0.0,0.0,20.2,23.2,104.0,112.0,0.0,0.0,0.0,0.057,-1.1,-3.5,-4.7,0.0,Arizona,Black,2014,2014,G,6-6,201,"August 17, 1990",Arizona State University,2013-2014,345,"Carrick Felix, SG",Cleveland Cavaliers,510000
raymond felton,2013-14,29.0,NYK,NBA,65,65.0,2017.0,12.9,0.321,0.201,3.1,8.6,5.7,28.1,2.1,1.2,16.3,18.2,103.0,111.0,1.1,1.1,2.2,0.053,-0.1,-0.8,-0.9,0.5,South Carolina,Black,2006,2016,G,6-1,205,"June 26, 1984",University of North Carolina,2013-2014,157,"Raymond Felton, PG",New York Knicks,3637073
landry fields,2013-14,25.0,TOR,NBA,30,2.0,322.0,8.6,0.075,0.328,5.4,16.0,10.7,9.3,1.6,0.7,12.5,12.4,98.0,105.0,0.0,0.4,0.4,0.057,-3.9,0.9,-2.9,-0.1,California,White,2011,2015,F,6-7,210,"June 27, 1988",Stanford University,2013-2014,98,"Landry Fields, SG",Toronto Raptors,6250000
evan fournier,2013-14,21.0,DEN,NBA,76,4.0,1503.0,10.3,0.436,0.226,2.4,12.1,7.3,11.6,1.1,0.3,14.3,19.7,101.0,111.0,0.6,0.8,1.4,0.043,-0.9,-1.6,-2.5,-0.2,France,White,2013,2016,G-F,6-7,205,"October 29, 1992",,2013-2014,263,"Evan Fournier, SG",Denver Nuggets,1422720
randy foye,2013-14,30.0,DEN,NBA,81,78.0,2485.0,13.3,0.569,0.211,1.6,8.5,5.0,17.7,1.3,1.2,13.2,18.8,110.0,111.0,3.3,1.3,4.6,0.089,1.9,-1.0,0.9,1.8,New Jersey,Black,2007,2016,G,6-4,213,"September 24, 1983",Villanova University,2013-2014,189,"Randy Foye, SG",Denver Nuggets,3000000
jamaal franklin,2013-14,22.0,MEM,NBA,21,0.0,161.0,4.7,0.282,0.051,2.9,14.0,8.5,5.4,1.3,1.0,21.6,14.6,85.0,106.0,-0.2,0.2,0.0,-0.002,-5.1,-0.2,-5.4,-0.1,California,Black,2014,2015,G,6-5,191,"July 21, 1991",San Diego State University,2013-2014,343,"Jamaal Franklin, SG",Memphis Grizzlies,535000
jimmer fredette,2013-14,24.0,TOT,NBA,49,0.0,519.0,15.8,0.37,0.093,1.7,9.7,5.7,22.2,1.4,0.5,16.9,24.3,105.0,110.0,0.5,0.3,0.8,0.078,0.6,-3.0,-2.4,0.0,New York,White,2012,2016,G,6-2,195,"February 25, 1989",Brigham Young University,2013-2014,367,"Jimmer Fredette, PG",Sacramento Kings,239279
joel freeland,2013-14,26.0,POR,NBA,52,0.0,727.0,11.3,0.012,0.179,13.2,17.6,15.4,7.1,0.7,2.1,15.5,12.4,109.0,107.0,0.7,0.7,1.4,0.093,-1.8,1.1,-0.7,0.2,England,White,2013,2015,F-C,6-10,250,"February 7, 1987",,2013-2014,193,"Joel Freeland, C",Portland Trail Blazers,2897976
channing frye,2013-14,30.0,PHO,NBA,82,82.0,2312.0,13.2,0.555,0.122,3.6,16.6,10.1,6.4,1.3,2.1,9.8,17.3,111.0,107.0,2.9,2.4,5.3,0.109,0.9,0.2,1.1,1.8,New York,Black,2006,2016,F-C,6-11,255,"May 17, 1983",University of Arizona,2013-2014,95,"Channing Frye, PF",Phoenix Suns,6400000
francisco garcia,2013-14,32.0,HOU,NBA,55,4.0,1083.0,9.3,0.656,0.065,2.3,9.8,6.3,8.6,1.2,2.3,9.0,13.5,108.0,108.0,0.8,0.9,1.8,0.078,-0.3,0.1,-0.2,0.5,Dominican Republic,Black and White,2006,2015,F-G,6-7,195,"December 31, 1981",University of Louisville,2013-2014,277,"Francisco Garcia, SG",Houston Rockets,1265977
kevin garnett,2013-14,37.0,BRK,NBA,54,54.0,1109.0,13.3,0.008,0.132,6.5,32.1,19.3,12.4,2.0,3.0,15.5,18.9,93.0,101.0,-0.7,1.9,1.2,0.054,-4.7,2.8,-1.9,0.0,South carolina,Black,1996,2016,F,6-11,240,"May 19, 1976",,2013-2014,37,"Kevin Garnett, PF",Brooklyn Nets,12433735
diante garrett,2013-14,25.0,UTA,NBA,71,0.0,1048.0,7.1,0.362,0.045,1.2,9.8,5.3,17.6,2.1,0.4,21.7,15.1,87.0,113.0,-1.1,0.3,-0.8,-0.036,-4.0,-1.2,-5.2,-0.8,Wisconsin,Black,2013,2014,G,6-4,190,"November 3, 1988",Iowa State University,2013-2014,331,"Diante Garrett, PG",Utah Jazz,719266
marc gasol,2013-14,29.0,MEM,NBA,59,59.0,1970.0,18.2,0.015,0.339,5.0,20.5,12.7,17.7,1.6,3.2,12.0,21.7,108.0,102.0,2.6,3.1,5.6,0.137,0.0,2.9,2.9,2.4,Spain,White,2009,2016,C,7-1,255,"January 29, 1985",,2013-2014,21,"Marc Gasol, C",Memphis Grizzlies,14860523
pau gasol,2013-14,33.0,LAL,NBA,60,60.0,1884.0,19.3,0.016,0.287,7.0,25.9,16.4,18.7,0.7,3.5,12.4,26.4,102.0,108.0,1.3,1.7,3.0,0.076,-1.0,1.6,0.6,1.3,Spain,White,2002,2016,F-C,7-0,250,"July 6, 1980",,2013-2014,7,"Pau Gasol, C",Los Angeles Lakers,19285850
rudy gay,2013-14,27.0,TOT,NBA,73,73.0,2531.0,18.3,0.167,0.328,5.0,14.8,9.8,15.1,1.9,1.8,14.2,27.6,104.0,107.0,2.3,2.5,4.8,0.091,0.6,0.3,0.9,1.8,Maryland,Black,2007,2016,F,6-8,230,"August 17, 1986",University of Connecticut,2013-2014,14,"Rudy Gay, SF",Toronto Raptors,17888932
alonzo gee,2013-14,26.0,CLE,NBA,65,24.0,1020.0,8.6,0.246,0.258,3.8,12.8,8.2,6.9,2.0,1.2,14.3,13.4,97.0,107.0,-0.1,1.0,0.9,0.041,-3.3,0.7,-2.6,-0.2,Florida,Black,2010,2016,G,6-6,225,"May 29, 1987",University of Alabama,2013-2014,171,"Alonzo Gee, SF",Cleveland Cavaliers,3250000
paul george,2013-14,23.0,IND,NBA,80,80.0,2898.0,20.1,0.367,0.341,2.6,17.7,10.5,17.9,2.7,0.6,12.5,28.3,107.0,97.0,4.4,6.4,10.8,0.178,2.9,1.8,4.7,4.9,California,Black,2011,2016,F,6-9,220,"May 2, 1990","California State University, Fresno",2013-2014,166,"Paul George, SF",Indiana Pacers,3282003
taj gibson,2013-14,28.0,CHI,NBA,82,8.0,2351.0,16.0,0.008,0.314,9.8,17.1,13.5,7.3,0.9,3.7,12.8,23.0,102.0,100.0,1.4,4.4,5.7,0.117,-2.6,1.4,-1.1,0.5,New York,Black,2010,2016,F,6-9,225,"June 24, 1985",University of Southern California,2013-2014,80,"Taj Gibson, PF",Chicago Bulls,7550000
manu ginobili,2013-14,36.0,SAS,NBA,68,3.0,1550.0,20.0,0.411,0.3,2.3,12.0,7.3,29.0,2.3,0.8,16.4,24.7,112.0,103.0,3.3,2.4,5.7,0.176,3.6,0.4,4.0,2.4,Argentina,White,2003,2016,G,6-6,205,"July 28, 1977",,2013-2014,82,"Manu Ginobili, SG",San Antonio Spurs,7500000
rudy gobert,2013-14,21.0,UTA,NBA,45,0.0,434.0,12.9,0.0,0.878,13.1,28.5,20.6,2.4,1.0,7.4,23.8,14.2,94.0,104.0,-0.2,0.6,0.4,0.045,-6.1,1.8,-4.3,-0.3,France,Black and White,2014,2016,C,7-1,245,"June 26, 1992",,2013-2014,296,"Rudy Gobert, C",Utah Jazz,1078800
